学部,学科,研究室名,所属教員,研究分野,主キャンパス,キャンパス詳細,号館・部屋,公式HP,区分,備考,口コミステータス,ID
Ⅰ類（情報系）,情報数理工学プログラム,宇都 雅輝 研究室,宇都 雅輝,ビッグデータと人工知能で人間の高度な知的活動をモデル化／ベイズ統計／人工知能／統計的自然言語処理／情報科学／情報工学,調布,,西10号館206,https://sites.google.com/view/utomasaki/,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-47 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: ベイズ統計に基づく機械学習手法や人工知能技術、統計的自然言語処理技術をベースに、心理学や行動計量学の理論を統合することで、大量のデータから人間の高度な知的活動を測定・モデル化する研究を行っています。社会的ニーズの高い現実的な課題を研究対象とし、開発技術の実用化にも力を入れています。特に教育評価を対象とした測定論の研究領域で最先端の技術を有しています。 ｜ 画像: https://www.uec.ac.jp/arc/images/masaki_uto.png ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/33/33_25232234.html,,48
Ⅰ類（情報系）,情報数理工学プログラム,岡本 吉央 研究室,岡本 吉央,離散数学で描く社会、離散最適化でよくなる社会／離散数学／離散アルゴリズム／離散最適化／応用数学／計算機科学／最適化／数理工学／数理モデル／幾何学／組合せ論／グラフ理論／ゲーム理論／情報科学／数学,調布,,西4号館206,http://dopal.cs.uec.ac.jp/lab/,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-48 ｜ ラボガイド更新: 2026-04-14 ｜ 本文: 組合せやネットワークを扱う「離散数学」の手法を用いて現実世界の問題を解析し、決められた制約の中でよりよい社会を目指す「離散最適化」が研究のテーマです。方法論に関する研究であるため、対象とする領域には制限がありません。今までは、ワイヤレス・ネットワーク、地理情報システム、情報可視化、生命情報解析、経済行動分析、数理パズルなどを応用対象としてきました。 ｜ 学生へのメッセージ: オープンキャンパスの研究室公開では「パズルで楽しむ離散数学の最先端」という展示をします．ぜひお越しください． ｜ 出張講義: Ⅰ類-11／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A16 ｜ 追加URL: https://www.youtube.com/channel/UCbF_vi6ZfU5YLwttt1Oli3Q ｜ 出身地・ゆかりの地: 中部地方／愛知県 ｜ 画像: https://www.uec.ac.jp/arc/images/yoshio_okamoto.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124230.html,,49
Ⅰ類（情報系）,情報数理工学プログラム,緒方 秀教 研究室,緒方 秀教,佐藤超函数論に基づく数値解析、複素数による高性能数値計算／数値解析／佐藤超函数／複素数／数学／情報科学／情報工学,調布,,西4号館306,http://www.uec-ogata-lab.jp/,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-49 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 本研究室では、佐藤超函数論という日本人数学者による数学理論に基づいた数値計算法の研究をしています。佐藤超函数は、複素解析関数で表した一般化関数（デルタ関数など）です。佐藤超函数の理論を応用して複素数演算による数値計算を行うことにより、従来の実数演算では困難だった様々な数値計算が可能となります。佐藤超函数論に基づく数値解析は、新しい科学技術計算の技法を提供します。 ｜ 画像: https://www.uec.ac.jp/arc/images/hidenori_ogata.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21019228.html,,50
Ⅰ類（情報系）,情報数理工学プログラム,工藤 周平 研究室,工藤 周平,高速かつスケーラブルな数値計算手法の開発／スパコン／高性能計算／並列計算／情報科学／情報工学,調布,,西4号館308,,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-50 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: スパコンは高性能なCPUを多数連結した巨大なシステムです。スパコンを用いて時間的・金銭的に効率良く計算を行うプログラムには、個々のCPUを上手く動作させると同時に多数のCPUを滞りなく協調させることが求められます。本研究室では、行列計算の高速化技術を基に、応用計算の高度化やスパコン向け計算手法について研究します。 ｜ ラボガイドに研究室URLなし ｜ 画像: https://www.uec.ac.jp/arc/images/kudo_shuhei.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/33/33_25231215.html,,51
Ⅰ類（情報系）,情報数理工学プログラム,小宮 常康 研究室,小宮 常康,プログラミング言語のメカニズムの探究／プログラミング言語／コンパイラ／インタプリタ／情報科学／情報工学,調布,,西10号館630,http://www.spa.is.uec.ac.jp/~komiya/,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-51 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 速いプログラムを作るにはそのアルゴリズムが重要なのは言うまでもありません。しかし、プログラミング言語処理系の性能もプログラムの性能に大きな影響を与えます。また、言語機能がもたらすプログラムの記述性・表現力は、開発効率等の点で「よいプログラム作り」に影響を及ぼします。そのような観点から、プログラミング言語・言語処理系の研究に取り組んでいます。 ｜ 画像: https://www.uec.ac.jp/arc/images/tsuneyasu_komiya.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21122105.html,,52
Ⅰ類（情報系）,情報数理工学プログラム,小山 大介 研究室,小山 大介,物理シミュレーション技法、有限要素法の数理解析と開発／微分方程式／有限要素法／シミュレーション／数学／物理学,調布,,西4号館210,http://www.im.uec.ac.jp/~koyama/,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-52 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 複雑な物理現象のシミュレーションを効率的に行えるようにするために、微分方程式の数値解法である「有限要素法」の数理解析と開発を行っています。図はティンパニーのまわりの音波を有限要素法によってコンピュータ・シミュレーションした結果です。ティンパニーの音を再現することもできます。将来はコンピュータ・オーケストラも現実のものになるかもしれません。 ｜ 画像: https://www.uec.ac.jp/arc/images/daisuke_koyama.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124207.html,,53
Ⅰ類（情報系）,情報数理工学プログラム,齋藤 平和 研究室,齋藤 平和,微分方程式の数学的研究／微分方程式／ナビエ・ストークス方程式／解析学／数学,調布,,東1号館503,,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-53 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 微分方程式は未来を予測するための道具です。例えば、高校物理で習うニュートンの運動方程式は微分方程式の一種であり、その解を調べると物体の未来の運動を予測することができます。私の研究対象は水や空気の運動（流れ）を記述するナビエ・ストークス方程式と呼ばれる微分方程式です。同方程式の解の性質（解の挙動や滑らかさ等）を数学的側面から研究しています。 ｜ ラボガイドに研究室URLなし ｜ 画像: https://www.uec.ac.jp/arc/images/saito_hirokazu.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21019105.html,,54
Ⅰ類（情報系）,情報数理工学プログラム,高橋 里司 研究室,高橋 里司,社会に役立つ数理最適化技術／数理最適化／オークション理論／情報科学／情報工学／経営・管理工学,調布,,西4号館508,,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-54 ｜ ラボガイド更新: 2025-10-15 ｜ 本文: 実社会に見られる様々な問題を数理最適化技術を用いて解決する研究に取り組んでいます。数理最適化には優れた理論的・実践的成果が数多くありますが、それらをどのように使い、また問題にあわせて改良し、システム化するかがテーマです。特にオークションなどの経済活動に関する最適化に興味があります。 ｜ 出張講義: Ⅰ類-12／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A17 ｜ 夢ナビ: https://douga.yumenavi.info/Lecture/PublishDetail/2021000100?back= ｜ ラボガイドに研究室URLなし ｜ 出身地・ゆかりの地: 岩手県／北海道・東北地方／茨城県／関東地方 ｜ 画像: https://www.uec.ac.jp/arc/images/takahashi_satoshi.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21122202.html,,55
Ⅰ類（情報系）,情報数理工学プログラム,武永 康彦 研究室,武永 康彦,アルゴリズムとゲーム・パズルの数理／アルゴリズム／離散数学／ゲーム・パズルの数理／情報科学／情報工学／数学,調布,,西9号館535,http://crimson.cs.uec.ac.jp/,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-55 ｜ ラボガイド更新: 2026-04-13 ｜ 本文: コンピュータにより様々な処理を短時間で行えますが、大きなサイズの問題を高速に解くには効率的なアルゴリズムが必要です。本研究室では、アルゴリズムの設計や計算複雑さ（問題の難しさ）の解明に関する研究を行っています。特に、ゲームやパズルに関する問題の難しさや必勝戦略について理論的に明らかにする研究に取り組んでいます。 ｜ 画像: https://www.uec.ac.jp/arc/images/yasuhiko_takenaga.jpg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124123.html,,56
Ⅰ類（情報系）,情報数理工学プログラム,龍野 智哉 研究室,龍野 智哉,プラズマや流体などの運動を数値シミュレーションで解析／プラズマ／流体／シミュレーション／高性能計算／グラフィックカード／プログラミング／宇宙物理学／核融合／電磁気学／統計力学／非線形／渦／オーロラ／物理学／地学・環境化学／情報工学,調布,,西4号館608,http://www.im.uec.ac.jp/~tatsuno/,,専攻: 情報・ネットワーク工学専攻 ｜ ラボガイド番号: Ⅰ類-56 ｜ ラボガイド更新: 2025-07-03 ｜ 本文: 物質の三態とは固体、液体、気体を指しますが、どんどん高温にすると、やがて電子とイオンに電離します。こうしてできた荷電粒子の集合体をプラズマと呼び、物質の第４の状態とも言われます。本研究室では、太陽や宇宙、核融合などの高温プラズマをはじめ、荷電粒子や流体の運動などに関する研究を、理論や数値シミュレーションの手法を用いて行っています。 ｜ 画像: https://www.uec.ac.jp/arc/images/tomoya_tatsuno.png ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124226.html,,57
